z,exact_sigmoid,poly_sigmoid
[-1.67193552 -0.53580816  0.9308093 ],[0.15816629 0.36916325 0.71723945],[0.0400856  0.3617416  0.71970624]
[ 1.48778091  1.1283741  -1.4182445 ],[0.81574497 0.75553872 0.19493694],[0.83874285 0.7629951  0.11526761]
[1.0607081  1.10192727 0.19779664],[0.74282584 0.75062104 0.54928857],[0.7483005  0.75726816 0.54886231]
[ 0.31899183  0.2373007  -0.576716  ],[0.57907853 0.55904834 0.35968859],[0.57822162 0.5584805  0.35083198]
[ 0.24281405  0.1276001  -0.48571194],[0.56040701 0.53185681 0.38090424],[0.55981913 0.5316558  0.37503327]
[-0.6650052   0.10845524  0.34057207],[0.33961616 0.52708726 0.58432948],[0.32711522 0.52693737 0.58340318]
[-0.15371301  0.55005604 -0.13677276],[0.46164723 0.63414859 0.46586001],[0.46121733 0.63297559 0.46552621]
[-0.25746574 -0.25153316 -0.26257836],[0.43598679 0.43744617 0.43473   ],[0.43463924 0.43616768 0.4333212 ]
[-0.4087666  -0.29649392 -0.42816124],[0.3992079 0.4264148 0.3945655],[0.395302   0.42455789 0.39020986]
[-1.51649875 -0.91952924  0.82793354],[0.17997768 0.28505382 0.69591781],[0.08637879 0.25743468 0.69670128]
[ 3.12371055  0.67686501 -2.58493409],[0.95786026 0.66303864 0.07011435],[ 1.13456412  0.66234406 -0.24646179]
[ 1.56630147  0.84437984 -1.24814496],[0.82725571 0.69938686 0.22302142],[0.85477586 0.7004003  0.16459577]
[-0.01473635  0.97161446 -0.30382223],[0.49631598 0.72544118 0.42462338],[0.49631266 0.7287431  0.42265982]
[-0.82971992 -0.66181991  0.08522421],[0.3037043  0.34033091 0.52129317],[0.28224349 0.32797494 0.52119711]
[ 0.03811076  0.27021279 -0.35730191],[0.50952654 0.56714514 0.41161285],[0.5095059  0.56645797 0.40875955]
[ 0.41568853  1.1208002  -0.75204008],[0.60245109 0.75413711 0.32037694],[0.60133018 0.76135715 0.30350652]
[-0.34401048  0.29431541  0.01161969],[0.41483561 0.57305229 0.50290489],[0.41222223 0.57227953 0.5029029 ]
[-1.6659367  -0.303854    1.03727166],[0.15896667 0.42461561 0.73832323],[0.04188565 0.42265159 0.74317893]
[-1.73232911 -0.56300052  0.91185207],[0.1502899  0.36285348 0.713379  ],[0.02190326 0.35449533 0.7154909 ]
[-0.87100336 -0.42538568 -0.04367472],[0.29504557 0.39522873 0.48908305],[0.27086946 0.39093929 0.48905271]
[-0.47170445 -0.08252245 -0.10222391],[0.3842129  0.47938109 0.47446625],[0.37873631 0.47926724 0.47428728]
[-0.26875306  0.7230163  -0.14541717],[0.43321324 0.67327088 0.46370963],[0.43172831 0.67291279 0.46332851]
[0.68118462 0.50937992 1.53656128],[0.66400304 0.6246611  0.82296428],[0.66333597 0.62345296 0.84872501]
[ 2.41015926  1.10526237 -2.76823444],[0.91759872 0.75124482 0.05906506],[ 1.0154068   0.75799152 -0.30700544]
[-0.29546653  0.36495217 -0.1343395 ],[0.4266661  0.59023868 0.46646554],[0.42482386 0.58924019 0.46614442]
[ 1.87511105  1.30725446 -2.36461963],[0.86704856 0.78705337 0.08591072],[ 0.91603714  0.8011799  -0.1750263 ]
[-1.7711323  -0.50474354  1.04464492],[0.14540157 0.37642657 0.73974525],[0.01016328 0.36999262 0.74479198]
[-1.31664111 -0.66552013  0.55433048],[0.21137767 0.33950068 0.63513971],[0.14483657 0.32697621 0.63397339]
[-0.00307566  0.26024854 -0.04752689],[0.49923108 0.56469739 0.48812051],[0.49923094 0.5640462  0.4880844 ]
[-1.21469597  0.26878528  0.46826866],[0.22887121 0.56679467 0.61497389],[0.17419371 0.56611264 0.61377803]
[ 1.77862168  0.96181439 -2.25252597],[0.85552659 0.72348493 0.0951318 ],[ 0.89720299  0.72657729 -0.13923959]
[ 1.3474219  -0.63874019 -1.49713568],[0.79370782 0.34553138 0.18285311],[0.80962229 0.33419512 0.09209485]
[-0.13653068  0.57430261 -0.33795648],[0.46592025 0.63975539 0.41630596],[0.46558772 0.6386283  0.41379766]
[ 1.34915076  1.46736376 -1.49199002],[0.79399075 0.81265636 0.18362322],[0.80998457 0.83454359 0.09361198]
[ 1.18240322 -0.77887579 -1.32965685],[0.76537963 0.31456223 0.20921613],[0.77462964 0.29618134 0.14106598]
[-1.62409481 -0.74374485  1.07068711],[0.16464092 0.32218579 0.74472756],[0.05441104 0.30576644 0.75047621]
[-1.40912051 -1.21040773  0.79970068],[0.19637281 0.22962892 0.68991045],[0.11793556 0.17542176 0.69033235]
[-0.8940096  -0.69252432  0.3933825 ],[0.29028308 0.33347176 0.5970967 ],[0.2645088  0.31967507 0.59602438]
[0.46287078 0.4367321  0.08084994],[0.61369498 0.60748008 0.52020148],[0.61250396 0.606322   0.52011443]
[ 0.01687688  0.3387601  -0.41731647],[0.50421912 0.5838893  0.39715907],[0.50421495 0.58296865 0.39305859]
[-0.76539385  0.18046111  0.65502059],[0.31747635 0.54499324 0.65814095],[0.29986412 0.54462679 0.65731937]
[-1.11678605 -0.28413843  0.30145173],[0.24660792 0.42943948 0.57479736],[0.20209532 0.42775437 0.57399983]
[-1.09381526  0.10874841  0.39720724],[0.25090052 0.52716034 0.59801649],[0.20859971 0.52700971 0.59693521]
[-0.31635439  0.43107239 -0.04053849],[0.42156447 0.60612972 0.48986676],[0.4194102  0.60498075 0.48984073]
[ 2.6948051   1.97582497 -2.78255698],[0.93671941 0.8782354  0.05827407],[ 1.06477166  0.93539798 -0.3117786 ]
[ 1.68830224  1.46684927 -1.65340984],[0.84400076 0.81257802 0.16064863],[0.87932009 0.83443762 0.04564108]
[-0.45222725  0.65513412 -0.04649962],[0.38883135 0.65816649 0.48837719],[0.38387555 0.65734552 0.48834266]
[ 0.33744245  1.39758294 -0.65441095],[0.58356913 0.80180006 0.34199623],[0.5826526  0.82009716 0.32997346]
[-1.29326737 -0.84998835  0.77981075],[0.21530029 0.2994353  0.68563932],[0.15159505 0.27666571 0.68583111]
[-0.51328183 -0.11526306  0.02509864],[0.3744245  0.4712161  0.50627433],[0.36772767 0.47098495 0.50626521]
[-0.65678095 -0.65148237  0.08100696],[0.3414631  0.34265557 0.52024067],[0.32933434 0.33076297 0.52015331]
[ 1.50611902 -0.13253472 -2.00223757],[0.81848533 0.46691473 0.11896819],[ 0.84250384  0.46660284 -0.06069372]
[-0.31296968  0.63883143 -0.28835122],[0.42239004 0.65448926 0.42840756],[0.42028833 0.65358627 0.426665  ]
[ 0.79544107 -0.1547925  -1.09206542],[0.68899844 0.46137896 0.25122955],[0.68936937 0.46094247 0.20909454]
[-1.10830876 -0.41901643  0.39510442],[0.24818632 0.39675213 0.59751088],[0.20449759 0.39261227 0.59643449]
[-1.21078893 -0.18141267  0.44511697],[0.22956149 0.45477081 0.60947763],[0.17531262 0.45415318 0.60830731]
[-2.08764134 -0.60052987  1.67470217],[0.11030383 0.35422248 0.84220174],[-0.08728403  0.34445799  0.87660613]
[-0.78120919  0.28835479  0.37379502],[0.31405934 0.57159331 0.59237567],[0.29554339 0.57084147 0.59135291]
[ 0.37298943  0.08823884 -0.97751529],[0.59218113 0.52204541 0.27338508],[0.59116054 0.52194292 0.24128814]
[-0.07387971  1.11223794 -0.58295247],[0.48153847 0.7525461  0.35825351],[0.4814482  0.75950339 0.34916438]
[ 0.56608888 -0.30269154 -0.9648453 ],[0.63786022 0.42489965 0.27590913],[0.63671537 0.42295278 0.24482478]
[-0.47563818 -0.41382603  0.66956584],[0.38328263 0.39799507 0.66140594],[0.37769698 0.39397471 0.66066668]
[ 0.09795024 -0.26442523 -0.36091778],[0.524468   0.4342762  0.41073742],[0.52434365 0.43284488 0.40781663]
[ 1.977862   -0.51286684 -1.65091443],[0.87845307 0.37452171 0.1609854 ],[0.93578643 0.3678378  0.04638862]
[ 0.10790694  0.47555778 -0.67930961],[0.52695059 0.61669836 0.33641541],[0.52680208 0.61549712 0.32325067]
[-1.31221459 -0.91598168  0.24751605],[0.2121165  0.28577736 0.56156502],[0.14611774 0.25841924 0.56096005]
[-0.29476369 -0.31290293 -2.23388533],[0.42683804 0.42240633 0.09674858],[ 0.42500579  0.42030565 -0.13332499]
[-1.68365279 -0.7747669   0.64321353],[0.15661239 0.31544883 0.65547952],[0.0365665  0.29730432 0.65459753]
[ 1.02000624  1.03344811 -1.51202672],[0.73497381 0.73758384 0.18063863],[0.73939537 0.7423418  0.08769995]
[ 0.65624961  1.05332767 -1.12738131],[0.65841741 0.74141339 0.24464469],[0.65760245 0.74668943 0.19908984]
[ 2.29538625  0.83695057 -1.93976205],[0.90849421 0.69782258 0.125674  ],[ 0.99481459  0.69873035 -0.04138067]
[ 1.30196704  0.44118696 -1.61948542],[0.78616585 0.60854182 0.16527585],[0.80006499 0.60737705 0.05578765]
[-1.60045413 -0.53603281  0.80443598],[0.16791815 0.36911093 0.69092258],[0.06146467 0.36168183 0.69140224]
[-0.8359339  -0.39086627  0.92827398],[0.30239184 0.40350878 0.71672498],[0.28053474 0.39999179 0.71914311]
[-0.84943106  0.35586966  0.48527586],[0.29955222 0.58804023 0.61899292],[0.27681924 0.58706777 0.61778658]
[-1.55355073 -0.86111134  0.97550289],[0.17457402 0.29710721 0.72621498],[0.07540952 0.27359947 0.72960163]
[ 1.28058973  0.22644538 -0.5210349 ],[0.78255014 0.55637067 0.37261027],[0.79554878 0.55584218 0.36566911]
[ 2.00071012  0.57043457 -1.8479645 ],[0.88087162 0.63886344 0.13611207],[ 0.94013491  0.63772771 -0.01321572]
[ 0.13457422  0.92943277 -0.37805739],[0.53359287 0.71696019 0.40659552],[0.5333719  0.71940051 0.40334174]
[-0.19707482 -0.55405641 -0.34706624],[0.45089014 0.3649238  0.41409403],[0.45014872 0.35688122 0.41142662]
[-1.18417645 -0.57745585  0.34544529],[0.23430209 0.35951821 0.58551264],[0.18292178 0.35063421 0.58457134]
[-0.51634372 -0.53272055 -0.91536333],[0.37370759 0.36988259 0.28590359],[0.36691491 0.36256299 0.25859082]
[ 1.40220777  0.59742017 -1.24391972],[0.80253399 0.64506586 0.22375444],[0.82105914 0.64400138 0.16581003]
[-0.11974836  0.3319698  -0.29246473],[0.47009863 0.58223858 0.42740057],[0.46984781 0.58133939 0.42560078]
[ 0.41603398  0.6742846  -0.84257713],[0.60253383 0.66246189 0.30099229],[0.60141223 0.66175125 0.27870668]
[-0.84017023  0.03521463  0.26013949],[0.30149893 0.50880275 0.56467058],[0.27936915 0.50878506 0.56401978]
